,id,name,popularity,genres,follower_count
0,3TVXtAsR1Inumwj472S9r4,Drake,96,rap,103487540
1,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,82,melodic rap,19299761
2,6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,75,,2230684
3,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,90,rap,31147716
4,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,90,rap,41286173
5,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,86,rage rap,15096257
6,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,94,,113542298
7,5H4yInM5zmHqpKIoMNAx4r,Central Cee,79,"uk drill, drill, uk grime",9740242
8,4oLeXFyACqeem2VImYeBFe,Fred again..,78,"stutter house, house",2236642
9,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,79,"melodic rap, rap",10210215
10,6HvZYsbFfjnjFrWF950C9d,NewJeans,78,k-pop,11697802
11,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,89,"hip hop, west coast hip hop",44791103
12,7rkW85dBwwrJtlHRDkJDAC,NAV,69,melodic rap,3565561
13,20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,86,,11289465
14,50co4Is1HCEo8bhOyUWKpn,Young Thug,84,"rap, melodic rap, trap",12459567
15,5f7VJjfbwm532GiveGC0ZK,Lil Baby,85,,21734407
16,6Ip8FS7vWT1uKkJSweANQK,Dave,81,"grime, uk grime, uk drill, drill",6642505
17,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,80,,6622779
18,1RyvyyTE3xzB2ZywiAwp0i,Future,89,rap,22776547
19,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,84,,11740577
20,4Gso3d4CscCijv0lmajZWs,Don Toliver,85,,7530614
21,7tYKF4w9nC0nq9CsPZTHyP,SZA,88,r&b,33220116
22,3DEdNjxF3ea9taOMCXouZ6,Sainté,58,uk drill,402934
23,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,84,,20385286
24,3DHtfeD4PsmR9YGhCP4VF7,Nemzzz,73,"uk drill, drill",1584728
25,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,86,melodic rap,10421335
26,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,76,"brooklyn drill, new york drill, drill",15641769
27,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,80,r&b,7936787
28,7gW0r5CkdEUMm42w9XpyZO,Laufey,83,,8591541
29,6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,80,melodic rap,11051337
30,13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,83,rap,17383922
31,4q3ewBCX7sLwd24euuV69X,Bad Bunny,96,"reggaeton, trap latino, urbano latino, latin",103062334
32,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,80,,8325722
33,4xPQFgDA5M2xa0ZGo5iIsv,¥$,70,,1045863
34,1URnnhqYAYcrqrcwql10ft,21 Savage,84,,23913835
35,3pc0bOVB5whxmD50W79wwO,keshi,74,,4234074
36,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,76,,4360744
37,246dkjvS1zLTtiykXe5h60,Post Malone,86,,47772086
38,4fxd5Ee7UefO4CUXgwJ7IP,GIVĒON,79,r&b,5253093
39,1dfeR4HaWDbWqFHLkxsg1d,Queen,83,"classic rock, rock, glam rock",55314859
40,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,86,"melodic rap, emo rap",42712335
41,25uiPmTg16RbhZWAqwLBy5,Charli xcx,83,"hyperpop, art pop",6368068
42,6icQOAFXDZKsumw3YXyusw,Lil Yachty,76,,10923353
43,5zctI4wO9XSKS8XwcnqEHk,Lil Mosey,64,melodic rap,5990319
44,1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,61,,2273125
45,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,83,"dark r&b, r&b, trap soul",10191228
46,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",87,,24568878
47,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,84,emo rap,51838239
48,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,73,,12369037
49,4LLpKhyESsyAXpc4laK94U,Mac Miller,82,,12203541
