id,name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,valence,tempo
2u9S9JJ6hTZS3Vf22HOZKg,NOKIA,0.247,0.537,0.727,0.0,5.0,0.173,-4.184,1.0,0.15,0.508,106.037
7yNf9YjeO5JXUE3JEBgnYc,Babydoll,0.114,0.762,0.604,0.0,7.0,0.0271,-5.296,0.0,0.11,0.847,168.007
3sK8wGT43QFpWrvNQsrQya,DtMF,0.177,0.625,0.131,0.218,7.0,0.0807,-27.405,0.0,0.0717,0.032,136.02
4gxEY3Mh5FZZDAJAKPNrCS,CRAZY,0.00953,0.802,0.899,0.000291,11.0,0.101,-2.223,0.0,0.126,0.531,130.047
5kDgJffgJ0lYHTSiaXFWNw,BABY I'M BACK,0.0154,0.417,0.743,0.0,11.0,0.191,-5.094,0.0,0.0481,0.128,161.877
2FDTHlrBguDzQkp7PVj16Q,Sprinter,0.263,0.918,0.681,0.0,1.0,0.0615,-4.705,1.0,0.201,0.706,139.057
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,0.0107,0.898,0.472,0.0,1.0,0.141,-7.001,1.0,0.0776,0.214,101.061
5WEF0icHWmAZBBMglBd599,WELTiTA,0.866,0.458,0.297,0.329,4.0,0.346,-32.354,0.0,0.6,0.357,96.14
5UcVIU1tsbN7ZsOSpR8AFD,Y Que Fue?,0.0473,0.887,0.654,0.0165,1.0,0.0957,-6.583,1.0,0.0592,0.871,132.938
417YLEvDX9igfVVam9Q9r2,Last of the Mohicans,0.0734,0.754,0.611,0.0,1.0,0.36,-5.385,1.0,0.427,0.568,166.009
7EW7Yivb93qKAtp5qEm5of,Dark Thoughts,0.055,0.801,0.773,0.0,1.0,0.189,-3.756,0.0,0.155,0.709,101.935
2uvE4L5ZsYKpv8hbK4TIOt,MUTT,0.216,0.572,0.455,3.88e-06,1.0,0.072,-8.078,1.0,0.134,0.597,179.787
0IsIY8pfu1yaGkPUD7pkDx,Guess featuring billie eilish,0.0167,0.78,0.713,0.206,0.0,0.144,-4.493,1.0,0.0888,0.615,130.034
3Fra5SMXXDTSRXVoDf8Xwd,GIRLS,0.0382,0.731,0.734,1.67e-06,7.0,0.353,-3.145,0.0,0.0515,0.797,101.008
7vjfnsnDXZGK4PSq54ISjc,1-800-hot-n-fun,0.0786,0.752,0.892,0.0,2.0,0.158,-3.1,1.0,0.108,0.88,135.953
3bWEONUAlVrGAB4NqQiT2R,KEHLANI,0.158,0.645,0.634,3.78e-06,10.0,0.0908,-3.769,0.0,0.0341,0.352,160.017
2zxEc1GCSCxbHIXTfhraRC,Clash (feat. Stormzy),0.313,0.871,0.519,8.14e-06,2.0,0.0869,-6.549,1.0,0.258,0.532,140.013
3LtpKP5abr2qqjunvjlX5i,Doja,0.38,0.911,0.573,0.0,6.0,0.403,-7.43,1.0,0.288,0.972,140.04
2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,0.189,0.757,0.628,0.0209,4.0,0.221,-6.715,0.0,0.101,0.321,119.98
2N8gR2yftrHbZR53U5kYnX,Would You (go to bed with me?),0.000113,0.602,0.766,0.779,1.0,0.0723,-3.942,1.0,0.0375,0.444,87.042
7jxnHknJtjE1MM8IfUidMF,Incredible Sauce (feat. Dave),0.0399,0.831,0.442,2.63e-05,8.0,0.292,-10.193,1.0,0.0769,0.142,129.965
05WPbN0RZeYj62c4VGpldv,Onna Come Up (feat. G Herbo) [Remix],0.339,0.679,0.794,1.65e-05,1.0,0.113,-3.985,1.0,0.296,0.698,150.067
3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),0.259,0.764,0.705,8.92e-05,8.0,0.12,-3.463,1.0,0.0284,0.781,110.97
1oTo3ijRbaDAtrjJrGAPSw,I Miss You,0.00103,0.655,0.781,5.33e-06,11.0,0.0867,-6.547,1.0,0.034,0.584,110.024
279qpKlNEFXT7XF0MMUT92,PerkySex,0.0883,0.751,0.873,0.0,0.0,0.0944,-5.996,0.0,0.0564,0.718,135.075
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),0.0458,0.636,0.729,0.0,2.0,0.384,-4.495,1.0,0.055,0.141,146.009
7DY756WOLyOz2Xnhw4EFiC,São Paulo (feat. Anitta),0.0385,0.538,0.658,0.000146,5.0,0.573,-7.273,0.0,0.076,0.553,127.322
5ocSQW5sIUIOFojwXEz9Ki,Supernatural,0.185,0.699,0.708,8.43e-06,10.0,0.0921,-4.182,0.0,0.0496,0.863,108.887
04tGB3iBg3EFjmHt7XmOoO,Man Don't Care,0.329,0.678,0.922,0.0,4.0,0.0925,-5.311,1.0,0.219,0.349,140.066
5FMyXeZ0reYloRTiCkPprT,Which One (feat. Central Cee),0.342,0.91,0.498,0.000517,7.0,0.163,-7.172,0.0,0.258,0.501,120.02
0CFhbNsY7CsuSkBQOiLPzz,Or What,0.116,0.731,0.586,0.0,1.0,0.0987,-7.564,0.0,0.172,0.147,125.845
7CwWhMGWICOl2ICwbk3QTE,Talk talk featuring troye sivan,0.0196,0.731,0.817,6.13e-06,8.0,0.349,-5.595,1.0,0.0791,0.661,130.032
31TVho4kOuAeRmLYGIEuWn,TGIF,0.0804,0.894,0.526,4.4e-05,10.0,0.132,-6.622,0.0,0.381,0.208,140.041
2VjOTvl50tscmc0RDjPdr2,UK Rap,0.323,0.922,0.674,3.07e-06,1.0,0.128,-4.429,1.0,0.366,0.726,140.065
35RJhm1pEovTBwnNR0zWad,GREECE (feat. Drake),0.0743,0.695,0.343,1.04e-06,5.0,0.107,-10.798,1.0,0.0432,0.229,85.84
6gH1UKDAhWS6qXzKXB4wuY,Hello Miss Johnson,0.369,0.776,0.692,0.0,4.0,0.21,-7.695,0.0,0.0398,0.339,94.974
3xKsf9qdS1CyvXSMEid6g8,Pink + White,0.667,0.545,0.545,5.48e-05,9.0,0.417,-7.362,1.0,0.107,0.549,159.94
30sc425JEvj3tgmGAKORea,New Choppa,0.174,0.773,0.605,0.0,0.0,0.329,-4.223,0.0,0.0579,0.425,128.16
0io16MKpbeDIdYzmGpQaES,Embrace It,0.475,0.882,0.645,4.13e-05,1.0,0.057,-7.233,1.0,0.0601,0.788,114.933
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),0.0852,0.897,0.662,0.0,1.0,0.534,-6.903,0.0,0.292,0.39,112.509
6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),0.057,0.8,0.56,0.0,5.0,0.134,-4.818,0.0,0.261,0.45,163.071
567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),0.0383,0.591,0.764,0.0,1.0,0.103,-5.484,1.0,0.0483,0.478,169.928
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),0.037,0.791,0.862,2.19e-05,9.0,0.0814,-3.24,0.0,0.11,0.592,123.994
1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,0.0137,0.482,0.757,0.0016,6.0,0.143,-4.586,1.0,0.0355,0.12,142.579
5wQnmLuC1W7ATsArWACrgW,Welcome to the Black Parade,0.000289,0.217,0.905,0.00011,2.0,0.222,-4.103,1.0,0.0752,0.236,96.95
7tr2za8SQg2CI8EDgrdtNl,Slide (feat. Frank Ocean & Migos),0.498,0.736,0.795,1.21e-06,1.0,0.254,-3.299,0.0,0.0545,0.511,104.066
3U3hFkMr0Q90pD24EkE3Pr,BMF,0.506,0.792,0.55,0.0166,10.0,0.087,-8.528,0.0,0.0307,0.972,128.023
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),0.359,0.882,0.764,0.0,11.0,0.119,-5.241,1.0,0.204,0.886,140.113
2WN7xpcY4zmcqF57HFEGZY,Better Believe (ft The Weeknd),0.154,0.799,0.569,0.0,0.0,0.151,-7.821,1.0,0.318,0.417,125.074
